org_code,org_name,icb_name,region_name,month_key,att_type1,type1_performance,alltype_performance,dta_12hr_plus,momentum_3m_pp,rag,type1_meets_95,type1_meets_interim
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,NHS Devon Integrated Care Board,South West,202606,8899.0,0.3498145859085291,0.6653621462197266,322.0,-0.024047535040041645,RED,False,False
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,NHS Cornwall And The Isles Of Scilly Integrated Care Board,South West,202606,7365.0,0.4127630685675492,0.7479601518026566,620.0,-0.04693272098348322,RED,False,False
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,NHS Nottingham And Nottinghamshire Integrated Care Board,Midlands,202606,12935.0,0.43084654039427905,0.6639617563170369,1067.0,-0.003948954567191021,RED,False,False
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,"NHS Shropshire, Telford And Wrekin Integrated Care Board",Midlands,202606,11834.0,0.4381443298969072,0.5160909154097448,1171.0,-0.0199745177505235,RED,False,False
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,NHS South West London Integrated Care Board,London,202606,7299.0,0.45800794629401287,0.734593572778828,563.0,-0.07298240126459121,RED,False,False
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Cheshire And Merseyside Integrated Care Board,North West,202606,7190.0,0.4621696801112657,0.6364138438880707,743.0,-0.01343536397177203,RED,False,False
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,202606,10403.0,0.4685186965298471,0.5859868240461159,476.0,-0.029269083833826426,RED,False,False
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,NHS Devon Integrated Care Board,South West,202606,7215.0,0.48357588357588355,0.6527174394893165,140.0,0.0027214650759961323,RED,False,False
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NHS Derby And Derbyshire Integrated Care Board,Midlands,202606,7043.0,0.4836007383217379,0.7033239887865439,196.0,-0.03144555797455839,RED,False,False
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS Cheshire And Merseyside Integrated Care Board,North West,202606,8388.0,0.48521697663328567,0.6082696629213483,705.0,0.00318843464783769,RED,False,False
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,Midlands,202606,15729.0,0.4945006039799097,0.6746214415505754,909.0,0.018602874410415637,RED,False,False
RH5,SOMERSET NHS FOUNDATION TRUST,NHS Somerset Integrated Care Board,South West,202606,12096.0,0.49503968253968256,0.7058823529411764,109.0,-0.01226426415432047,RED,False,False
RJN,EAST CHESHIRE NHS TRUST,NHS Cheshire And Merseyside Integrated Care Board,North West,202606,4654.0,0.49828104856037814,0.49828104856037814,389.0,0.013717600005931807,RED,False,False
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,202606,10028.0,0.49920223374551254,0.6329378454900904,15.0,0.010888920432199245,RED,False,False
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,202606,10862.0,0.4998158718468054,0.6846923207323274,729.0,-0.023413576242735323,RED,False,False
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS Cheshire And Merseyside Integrated Care Board,North West,202606,16419.0,0.5003349777696571,0.6787570621468926,1229.0,-0.022772505392452236,RED,False,False
RJ2,LEWISHAM AND GREENWICH NHS TRUST,NHS South East London Integrated Care Board,London,202606,16456.0,0.5035245503159942,0.7508986549165121,582.0,-0.007305162842954571,RED,False,False
