org_code,org_name,icb_code,icb_name,region_name,imd_score,deprivation_quintile,core20_proxy,catchment_population,type1_performance_12m,att_type1_12m,dta_12hr_12m
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,22.1,3,false,381135,0.7954712812960236,10864.0,0.0
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England,17.3,4,false,289932,0.5308840413318026,8710.0,0.0
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,QMJ,NHS North Central London Integrated Care Board,London,24.2,2,false,899746,0.7038887438947093,26821.0,1778.0
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,QNQ,NHS Frimley Integrated Care Board,South East,12.1,5,false,680650,0.6189625108979948,22940.0,611.0
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,31.2,1,true,269090,0.513279559315365,5083.0,5.0
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,27.8,1,true,174389,0.5979205726947332,5867.0,5.0
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,25.9,2,false,396167,0.8686545970891019,16902.0,11.0
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,QRV,NHS North West London Integrated Care Board,London,21.9,3,false,239733,0.5554560114674789,5581.0,48.0
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,26.7,2,false,670472,0.5361650751838437,9111.0,18.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,QOQ,NHS Humber And North Yorkshire Integrated Care Board,North East and Yorkshire,26.4,2,false,365512,0.4998158718468054,10862.0,729.0
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",East of England,20.1,3,false,628498,0.6255392579810182,18544.0,70.0
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,QMJ,NHS North Central London Integrated Care Board,London,23.2,3,false,568542,0.7529960053262317,13518.0,153.0
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,QM7,NHS Hertfordshire And West Essex Integrated Care Board,East of England,14.0,5,false,428722,0.5296442687747036,9108.0,170.0
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,QHM,NHS North East And North Cumbria Integrated Care Board,North East and Yorkshire,27.2,2,false,436903,0.5418075622502305,13012.0,31.0
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,QJG,NHS Suffolk And North East Essex Integrated Care Board,East of England,16.9,4,false,252940,0.71161094224924,8225.0,348.0
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,QUA,NHS Black Country Integrated Care Board,Midlands,24.6,2,false,367860,0.6908698102573736,10646.0,175.0
RMC,BOLTON NHS FOUNDATION TRUST,QOP,NHS Greater Manchester Integrated Care Board,North West,31.1,1,true,315680,0.5452995339320224,8797.0,455.0
RPA,MEDWAY NHS FOUNDATION TRUST,QKS,NHS Kent And Medway Integrated Care Board,South East,25.0,2,false,317714,0.6397437243986976,9521.0,822.0
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,17.8,4,false,634480,0.6459894891014043,11607.0,22.0
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,19.6,4,false,571207,0.6000170896351362,11703.0,1112.0
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,South East,11.9,5,false,468137,0.49920223374551254,10028.0,15.0
RA7,BRISTOL NHS FOUNDATION TRUST,QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",South West,17.600505686877344,4,false,1130937,0.6282875736455005,25969.0,1052.0
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,QE1,NHS Lancashire And South Cumbria Integrated Care Board,North West,21.7,3,false,464488,0.674863813229572,12850.0,336.0
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",South West,15.4,5,false,362110,0.5416239754098361,7808.0,422.0
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,QPM,NHS Northamptonshire Integrated Care Board,Midlands,17.7,4,false,375079,0.6442857142857144,11200.0,900.0
RCF,AIREDALE NHS FOUNDATION TRUST,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,22.2,3,false,179131,0.5451432129514322,6424.0,203.0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,QE1,NHS Lancashire And South Cumbria Integrated Care Board,North West,29.9,1,true,296513,0.5431916344623778,8798.0,313.0
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,QWU,NHS Coventry And Warwickshire Integrated Care Board,Midlands,12.1,5,false,281768,0.7608818541548897,8845.0,88.0
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,QYG,NHS Cheshire And Merseyside Integrated Care Board,North West,17.7,4,false,260096,0.4621696801112657,7190.0,743.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,QKK,NHS South East London Integrated Care Board,London,18.9,4,false,708227,0.5572523961661342,15650.0,702.0
RNZ,SALISBURY NHS FOUNDATION TRUST,QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",South West,14.4,5,false,224952,0.5037375415282392,4816.0,219.0
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,QJ2,NHS Derby And Derbyshire Integrated Care Board,Midlands,21.7,3,false,251697,0.4836007383217379,7043.0,196.0
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,31.0,1,true,217199,0.6758877771237983,10194.0,3.0
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,East of England,12.6,5,false,574506,0.5292550977944237,12015.0,445.0
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,28.099999999999998,1,true,388856,0.6347166199494086,14627.0,246.0
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,QUE,NHS Cambridgeshire And Peterborough Integrated Care Board,East of England,19.1,4,false,514931,0.6328869430852433,15532.0,762.0
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",Midlands,20.3,3,false,396036,0.4381443298969072,11834.0,1171.0
RJ6,CROYDON HEALTH SERVICES NHS TRUST,QWE,NHS South West London Integrated Care Board,London,22.4,3,false,258633,0.6124852767962309,13584.0,601.0
