icb_code,icb_name,open_date,close_date,is_current
D7T5G,NHS ESSEX INTEGRATED CARE BOARD,20260401,,true
QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,20170401,,true
QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,20170401,,true
QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,20170401,,true
QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,20180401,20260331,false
QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",20170401,20260331,false
QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,20170401,,true
QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,20180401,,true
QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,20170401,,true
QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,20170401,20260331,false
QJK,NHS DEVON INTEGRATED CARE BOARD,20170401,,true
QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,20170401,,true
QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",20170401,,true
QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,20170401,,true
QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,20170401,,true
QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,20170401,20260331,false
QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,20170401,,true
QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,20170401,20260331,false
QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,20180401,20260331,false
QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,20170401,,true
QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,20170401,20260331,false
QNX,NHS SUSSEX INTEGRATED CARE BOARD,20170401,20260331,false
QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",20170401,,true
QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,20170401,,true
QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,20180401,,true
QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",20170401,,true
QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,20170401,,true
QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,20170401,,true
QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,20170401,,true
QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,20170401,20260331,false
QSL,NHS SOMERSET INTEGRATED CARE BOARD,20170401,,true
QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,20170401,,true
QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,20170401,,true
QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",20170401,20260331,false
QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,20170401,,true
QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,20170401,20260331,false
QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",20170401,,true
QVV,NHS DORSET INTEGRATED CARE BOARD,20170401,,true
QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,20170401,,true
QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,20170401,,true
QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,20170401,,true
QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,20170401,20260331,false
QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,20170401,,true
S0E4D,NHS THAMES VALLEY INTEGRATED CARE BOARD,20260401,,true
S1Y5D,NHS CENTRAL EAST INTEGRATED CARE BOARD,20260401,,true
S9B9J,NHS SURREY AND SUSSEX INTEGRATED CARE BOARD,20260401,,true
T6Y0W,NHS NORFOLK AND SUFFOLK INTEGRATED CARE BOARD,20260401,,true
Z9B2Z,NHS WEST AND NORTH LONDON INTEGRATED CARE BOARD,20260401,,true
