org_code,org_name,org_type,postcode,region_name,is_current,first_month_seen,last_month_seen,months_type1,is_type1_provider,icb_code,icb_name,icb_code_2022,icb_name_2022
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NHS Trust,L14 3PE,North West,true,202104,202606,0,false,QYG,NHS Cheshire And Merseyside Integrated Care Board,QYG,NHS Cheshire And Merseyside Integrated Care Board
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,NHS Trust,NE29 8NH,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,NHS Trust,MK6 5LD,East of England,true,202104,202606,63,true,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board"
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NHS Trust,NW3 2QG,London,true,202104,202606,63,true,QMJ,NHS North Central London Integrated Care Board,QMJ,NHS North Central London Integrated Care Board
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS Trust,GU16 7UJ,South East,true,202104,202606,63,true,QNQ,NHS Frimley Integrated Care Board,QNQ,NHS Frimley Integrated Care Board
DJV01,HERNE BAY HEALTH CARE LTD,Other provider,,South East Commissioning Region,,202507,202606,0,false,QKS,NHS Kent And Medway Integrated Care Board,,
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,NHS Trust,TS24 9AH,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,NHS Trust,NE9 6SX,North East and Yorkshire,true,202104,202606,63,true,QHM,NHS North East And North Cumbria Integrated Care Board,QHM,NHS North East And North Cumbria Integrated Care Board
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS Trust,HD3 3EA,North East and Yorkshire,true,202104,202606,63,true,QWO,NHS West Yorkshire Integrated Care Board,QWO,NHS West Yorkshire Integrated Care Board
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,NHS Trust,UB8 3NN,London,true,202104,202606,63,true,QRV,NHS North West London Integrated Care Board,QRV,NHS North West London Integrated Care Board
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS Trust,S5 7AU,North East and Yorkshire,true,202104,202606,63,true,QF7,NHS South Yorkshire Integrated Care Board,QF7,NHS South Yorkshire Integrated Care Board
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,NHS Trust,DN33 2BA,North East and Yorkshire,true,202104,202606,63,true,QOQ,NHS Humber And North Yorkshire Integrated Care Board,QOQ,NHS Humber And North Yorkshire Integrated Care Board
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS Trust,LU4 0DZ,East of England,true,202104,202606,63,true,QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board"
