org_code,month_key,month_start,fy,month_name,days_in_month,is_winter,winter_label,is_summer,methodology_break,att_type1,att_type2,att_other,att_all,over4hr_type1,over4hr_all,dta_4to12hr,dta_12hr_plus,emadm_via_ae,type1_performance,alltype_performance,att_type1_per_day,type1_meets_95,type1_meets_interim
Y02147,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,5952.0,5952.0,0.0,47.0,0.0,0.0,0.0,,0.9921034946236559,0.0,,
G82071,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,2875.0,2875.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
NJS05,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,3834.0,3834.0,0.0,238.0,0.0,0.0,0.0,,0.9379238393322901,0.0,,
NNJ14,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
RY5,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,7307.0,7307.0,0.0,59.0,0.0,0.0,2.0,,0.9919255508416587,0.0,,
NDA57,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,609.0,609.0,0.0,1.0,0.0,0.0,1.0,,0.9983579638752053,0.0,,
RQW,202104,2021-04-01,2021-22,April,30,false,,false,false,8894.0,0.0,0.0,8894.0,2131.0,2131.0,362.0,1.0,2369.0,0.7604002698448392,0.7604002698448392,296.46666666666664,false,false
RXK,202104,2021-04-01,2021-22,April,30,false,,false,false,12683.0,1026.0,4596.0,18305.0,2685.0,2814.0,303.0,0.0,2831.0,0.7882992982732792,0.8462715105162524,422.76666666666665,false,true
Y02532,202104,2021-04-01,2021-22,April,30,false,,false,false,0.0,0.0,1241.0,1241.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
RN5,202104,2021-04-01,2021-22,April,30,false,,false,false,10224.0,0.0,285.0,10509.0,1459.0,1459.0,894.0,0.0,3704.0,0.8572965571205008,0.8611666190884004,340.8,false,true
RAL,202104,2021-04-01,2021-22,April,30,false,,false,false,28144.0,451.0,10102.0,38697.0,5368.0,5623.0,1519.0,39.0,6535.0,0.8092666287663445,0.8546915781585136,938.1333333333333,false,true
RN3,202104,2021-04-01,2021-22,April,30,false,,false,false,5113.0,0.0,3609.0,8722.0,1382.0,1596.0,310.0,0.0,2295.0,0.7297085859573635,0.8170144462279294,170.43333333333334,false,false
RCF,202104,2021-04-01,2021-22,April,30,false,,false,false,5733.0,300.0,3.0,6036.0,874.0,874.0,0.0,0.0,1393.0,0.8475492761207046,0.8552021206096753,191.1,false,true
RXR,202104,2021-04-01,2021-22,April,30,false,,false,false,10386.0,0.0,5840.0,16226.0,2113.0,2464.0,414.0,6.0,4535.0,0.7965530521856345,0.8481449525452976,346.2,false,true
NDJ,202105,2021-05-01,2021-22,May,31,false,,false,false,0.0,0.0,1260.0,1260.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
RTX,202105,2021-05-01,2021-22,May,31,false,,false,false,8465.0,0.0,2061.0,10526.0,2050.0,2102.0,295.0,9.0,2419.0,0.7578263437684584,0.8003040091202736,273.06451612903226,false,false
NNJ0H,202105,2021-05-01,2021-22,May,31,false,,false,false,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
RTP,202105,2021-05-01,2021-22,May,31,false,,false,false,9711.0,0.0,847.0,10558.0,507.0,507.0,118.0,0.0,2687.0,0.9477911646586346,0.9519795415798447,313.258064516129,false,true
RY5,202105,2021-05-01,2021-22,May,31,false,,false,false,0.0,0.0,9076.0,9076.0,0.0,168.0,0.0,0.0,2.0,,0.9814896430145439,0.0,,
RA9,202105,2021-05-01,2021-22,May,31,false,,false,false,5613.0,0.0,2646.0,8259.0,1761.0,1762.0,297.0,3.0,2338.0,0.6862640299305185,0.7866569802639545,181.06451612903226,false,false
RXP,202105,2021-05-01,2021-22,May,31,false,,false,false,12898.0,0.0,3868.0,16766.0,3113.0,3113.0,764.0,0.0,5478.0,0.7586447511242053,0.81432661338423,416.06451612903226,false,false
RP5,202105,2021-05-01,2021-22,May,31,false,,false,false,13191.0,0.0,3628.0,16819.0,3317.0,3317.0,716.0,0.0,3561.0,0.7485406716700781,0.8027825673345621,425.51612903225805,false,false
RF4,202105,2021-05-01,2021-22,May,31,false,,false,false,13292.0,594.0,11906.0,25792.0,6981.0,7868.0,78.0,197.0,4403.0,0.4747968702979236,0.6949441687344913,428.7741935483871,false,false
C82010,202106,2021-06-01,2021-22,June,30,false,,true,false,0.0,0.0,235.0,235.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
NTV0B,202106,2021-06-01,2021-22,June,30,false,,true,false,0.0,0.0,3188.0,3188.0,0.0,53.0,0.0,0.0,0.0,,0.983375156838143,0.0,,
RL1,202106,2021-06-01,2021-22,June,30,false,,true,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
RN7,202106,2021-06-01,2021-22,June,30,false,,true,false,11374.0,0.0,1852.0,13226.0,1564.0,1566.0,140.0,0.0,3168.0,0.8624934060137155,0.8815968546801755,379.1333333333333,false,true
RD1,202106,2021-06-01,2021-22,June,30,false,,true,false,7097.0,0.0,746.0,7843.0,1746.0,1773.0,104.0,0.0,2380.0,0.7539805551641539,0.7739385439245187,236.56666666666666,false,false
RWE,202106,2021-06-01,2021-22,June,30,false,,true,false,21652.0,1493.0,0.0,23145.0,8563.0,8613.0,1318.0,0.0,4789.0,0.6045169037502309,0.6278677900194427,721.7333333333333,false,false
RGT,202106,2021-06-01,2021-22,June,30,false,,true,false,9768.0,0.0,4693.0,14461.0,0.0,0.0,816.0,41.0,2778.0,1.0,1.0,325.6,true,true
RXN,202106,2021-06-01,2021-22,June,30,false,,true,false,7144.0,0.0,8286.0,15430.0,2809.0,3111.0,1837.0,53.0,2805.0,0.6068029115341546,0.7983797796500324,238.13333333333333,false,false
RAL,202106,2021-06-01,2021-22,June,30,false,,true,false,29893.0,545.0,12692.0,43130.0,7446.0,7922.0,1066.0,59.0,6649.0,0.7509115846519252,0.8163227451889636,996.4333333333333,false,false
RBT,202106,2021-06-01,2021-22,June,30,false,,true,false,6906.0,0.0,2305.0,9211.0,3004.0,3026.0,630.0,2.0,2394.0,0.5650159281783955,0.671479752469873,230.2,false,false
RLT,202106,2021-06-01,2021-22,June,30,false,,true,false,5930.0,0.0,2010.0,7940.0,652.0,658.0,80.0,0.0,1471.0,0.8900505902192243,0.9171284634760706,197.66666666666666,false,true
NTP11,202107,2021-07-01,2021-22,July,31,false,,true,false,0.0,0.0,4795.0,4795.0,0.0,6.0,0.0,0.0,0.0,,0.9987486965589155,0.0,,
NNF94,202107,2021-07-01,2021-22,July,31,false,,true,false,0.0,0.0,2713.0,2713.0,0.0,103.0,0.0,0.0,0.0,,0.9620346479911537,0.0,,
G82071,202107,2021-07-01,2021-22,July,31,false,,true,false,0.0,0.0,3750.0,3750.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,
AQN04,202107,2021-07-01,2021-22,July,31,false,,true,false,0.0,0.0,2307.0,2307.0,0.0,98.0,0.0,0.0,0.0,,0.9575205895101864,0.0,,
RQM,202107,2021-07-01,2021-22,July,31,false,,true,false,17873.0,0.0,9986.0,27859.0,0.0,0.0,313.0,3.0,2538.0,1.0,1.0,576.5483870967741,true,true
RET,202107,2021-07-01,2021-22,July,31,false,,true,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
RYJ,202107,2021-07-01,2021-22,July,31,false,,true,false,11654.0,3573.0,7947.0,23174.0,0.0,0.0,941.0,15.0,2910.0,1.0,1.0,375.93548387096774,true,true
RJL,202107,2021-07-01,2021-22,July,31,false,,true,false,12876.0,0.0,308.0,13184.0,4791.0,4794.0,1009.0,30.0,3550.0,0.6279123951537744,0.636377427184466,415.35483870967744,false,false
RWW,202107,2021-07-01,2021-22,July,31,false,,true,false,8179.0,0.0,7725.0,15904.0,2923.0,2962.0,1305.0,0.0,2106.0,0.6426213473529772,0.8137575452716298,263.83870967741933,false,false
RBL,202107,2021-07-01,2021-22,July,31,false,,true,false,8555.0,0.0,2612.0,11167.0,3606.0,3659.0,474.0,1.0,2451.0,0.5784921098772647,0.672338139160025,275.96774193548384,false,false
