region,month_key,month_start,is_winter,winter_label,cat1_mean_sec,cat2_mean_sec,cat1_incidents,cat2_incidents
Y56,201709,2017-09-01,false,,,,,
Y59,201808,2018-08-01,false,,441.962962962963,1013.4508958993065,5832.0,49894.0
Y63,201902,2019-02-01,true,2018-19,406.19958563535914,1325.999890817775,7240.0,54954.0
Y58,201906,2019-06-01,false,,419.0,1768.0,4269.0,39512.0
Y62,201909,2019-09-01,false,,444.0,1446.0,9870.0,49579.0
Y56,201911,2019-11-01,false,,405.0,1271.0,9871.0,63134.0
Y56,201912,2019-12-01,true,2019-20,422.0,1530.0,11050.0,66734.0
Y63,201912,2019-12-01,true,2019-20,447.62447552447554,1872.8004420254993,10010.0,66512.0
Y63,202001,2020-01-01,true,2019-20,404.84524669073403,1246.6932067202338,8310.0,60236.0
Y62,202001,2020-01-01,true,2019-20,427.0,1431.0,9803.0,52929.0
Y60,202002,2020-02-01,true,2019-20,444.40046430644225,1145.6779584169958,12061.0,77195.0
Y59,202004,2020-04-01,false,,382.4147774979009,830.3651398945971,7146.0,46678.0
Y63,202005,2020-05-01,false,,410.8245064243184,868.8301222712754,6382.0,49153.0
Y61,202008,2020-08-01,false,,428.0,1345.0,6690.0,41495.0
Y59,202010,2020-10-01,false,,422.86655578300923,1036.3929480582788,7816.0,55389.0
Y58,202010,2020-10-01,false,,476.0,1628.0,8100.0,40525.0
Y56,202012,2020-12-01,true,2020-21,394.0,2683.0,8349.0,65891.0
Y59,202104,2021-04-01,false,,422.6868145881153,1071.6066624075934,7842.0,54785.0
Y56,202104,2021-04-01,false,,339.0,992.0,7101.0,57666.0
Y59,202108,2021-08-01,false,,507.27931384719557,1635.0383595316644,8861.0,61836.0
Y56,202109,2021-09-01,false,,446.0,2874.0,10034.0,57888.0
Y61,202110,2021-10-01,false,,637.0,3361.0,8487.0,44657.0
Y59,202201,2022-01-01,true,2021-22,495.73517370452686,1557.4067291819126,8549.0,58759.0
Y63,202203,2022-03-01,false,,537.7416682010679,2533.066026168601,10862.0,59537.0
Y58,202206,2022-06-01,false,,688.0,4190.0,9435.0,36290.0
Y62,202208,2022-08-01,false,,475.0,2166.0,8900.0,47278.0
Y61,202211,2022-11-01,false,,629.0,3768.0,9097.0,36234.0
Y56,202212,2022-12-01,true,2022-23,635.0,5013.0,14135.0,51956.0
Y60,202212,2022-12-01,true,2022-23,601.0486049690439,6692.676578992562,24874.0,75697.0
Y62,202301,2023-01-01,true,2022-23,495.0,1757.0,8434.0,44972.0
Y61,202301,2023-01-01,true,2022-23,553.0,2944.0,8301.0,35667.0
Y59,202307,2023-07-01,false,,542.6606724966128,1872.9751146693354,8119.0,59955.0
Y59,202310,2023-10-01,false,,528.4728224548898,1995.1164454162113,8978.0,64030.0
Y56,202311,2023-11-01,false,,456.0,2478.0,12478.0,52139.0
Y63,202403,2024-03-01,false,,470.0392978965321,1849.2076393801042,14072.0,62204.0
Y60,202404,2024-04-01,false,,515.7561548929853,1855.847772418246,16166.0,78987.0
Y62,202408,2024-08-01,false,,449.0,1264.0,8771.0,46110.0
Y56,202409,2024-09-01,false,,457.0,2547.0,13473.0,53727.0
Y62,202411,2024-11-01,false,,478.0,2207.0,10105.0,48828.0
Y58,202412,2024-12-01,true,2024-25,594.0,3633.0,9982.0,45469.0
Y56,202506,2025-06-01,false,,427.0,1954.0,14116.0,57153.0
Y61,202508,2025-08-01,false,,512.0,1855.0,7798.0,42204.0
Y58,202604,2026-04-01,false,,537.0,1831.0,8155.0,41692.0
Y58,202606,2026-06-01,false,,581.0,2699.0,9361.0,44162.0
Y59,201709,2017-09-01,false,,,,,
Y63,201804,2018-04-01,false,,450.7772543741588,1198.025194765322,8916.0,52114.0
Y63,201805,2018-05-01,false,,460.940829026474,1244.8204117072464,9481.0,55282.0
Y60,201807,2018-07-01,false,,437.5260529382387,1325.767349636484,12014.0,75650.0
Y62,201808,2018-08-01,false,,473.0,1306.0,8372.0,46630.0
Y56,201809,2018-09-01,false,,376.0,1147.0,9408.0,55125.0
Y62,201809,2018-09-01,false,,475.0,1366.0,8005.0,47386.0
Y60,201811,2018-11-01,false,,443.73282127518996,1258.4038016656384,12108.0,77808.0
Y59,201812,2018-12-01,true,2018-19,451.093981618737,1148.9605260953338,6746.0,59685.0
Y56,201904,2019-04-01,false,,362.0,987.0,11459.0,57116.0
Y58,201904,2019-04-01,false,,420.0,1791.0,4242.0,39991.0
Y56,201905,2019-05-01,false,,368.0,1056.0,12021.0,58038.0
Y63,202004,2020-04-01,false,,413.99645006945514,1022.2219046646933,6479.0,48985.0
Y58,202009,2020-09-01,false,,464.0,1650.0,7629.0,40132.0
Y56,202010,2020-10-01,false,,333.0,913.0,7335.0,58316.0
Y58,202101,2021-01-01,true,2020-21,493.0,1743.0,8611.0,39383.0
Y61,202103,2021-03-01,false,,398.0,1098.0,5817.0,42374.0
Y58,202103,2021-03-01,false,,440.0,1357.0,7321.0,38623.0
Y59,202105,2021-05-01,false,,448.5448156682028,1218.3390198760762,8680.0,62135.0
Y63,202105,2021-05-01,false,,449.533094056793,1590.5933555455886,9473.0,62428.0
Y56,202110,2021-10-01,false,,422.0,2997.0,10898.0,60476.0
Y60,202201,2022-01-01,true,2021-22,499.3922464349651,2191.6098751970417,16199.0,84373.0
Y63,202202,2022-02-01,true,2021-22,488.5900011285408,1735.666211117955,8861.0,51952.0
Y62,202202,2022-02-01,true,2021-22,503.0,2134.0,11282.0,42780.0
Y61,202205,2022-05-01,false,,595.0,2990.0,7808.0,39236.0
