org_code,month_key,month_start,fy,is_winter,winter_label,total_incomplete,within_18wk,over_52wk,over_65wk,over_78wk,over_104wk,pct_within_18wk,waiting_per_10k_catchment
RJ2,202603,2026-03-01,2025-26,false,,55317.0,35899.0,839.0,44.0,1.0,0.0,0.648968671475315,1081.8596791795258
RN5,202603,2026-03-01,2025-26,false,,48518.0,31279.0,1248.0,45.0,,,0.6446885691908157,1036.4060093519631
RN7,202603,2026-03-01,2025-26,false,,29571.0,18131.0,349.0,0.0,0.0,0.0,0.6131344898718339,960.9054367146399
RP4,202603,2026-03-01,2025-26,false,,8547.0,6322.0,197.0,52.0,15.0,2.0,0.7396747396747396,994.4732096107977
RQW,202603,2026-03-01,2025-26,false,,39762.0,25493.0,569.0,53.0,8.0,3.0,0.6411397817011216,1663.98834931954
S3H9L,202603,2026-03-01,2025-26,false,,914.0,427.0,41.0,4.0,1.0,0.0,0.4671772428884026,
U0K8N,202603,2026-03-01,2025-26,false,,69.0,63.0,,,,,0.9130434782608695,
Z5J5V,202603,2026-03-01,2025-26,false,,296.0,271.0,1.0,0.0,0.0,0.0,0.9155405405405406,
ACG37,202604,2026-04-01,2026-27,false,,1218.0,1152.0,0.0,0.0,0.0,0.0,0.9458128078817734,
B5M7B,202604,2026-04-01,2026-27,false,,1675.0,1487.0,0.0,0.0,0.0,0.0,0.8877611940298508,
M2Y6D,202604,2026-04-01,2026-27,false,,1494.0,1185.0,4.0,0.0,0.0,0.0,0.7931726907630522,
NCN,202604,2026-04-01,2026-27,false,,2326.0,2181.0,41.0,37.0,34.0,22.0,0.9376612209802235,
NFH,202604,2026-04-01,2026-27,false,,1576.0,1292.0,2.0,1.0,0.0,0.0,0.8197969543147208,
NLG,202604,2026-04-01,2026-27,false,,4440.0,3111.0,27.0,2.0,,,0.7006756756756757,
NPG14,202604,2026-04-01,2026-27,false,,290.0,269.0,0.0,0.0,0.0,0.0,0.9275862068965517,
NT211,202604,2026-04-01,2026-27,false,,47.0,18.0,5.0,2.0,0.0,0.0,0.3829787234042553,
NT347,202604,2026-04-01,2026-27,false,,3362.0,2804.0,0.0,0.0,0.0,0.0,0.8340273646638905,
RAX,202604,2026-04-01,2026-27,false,,41149.0,26930.0,262.0,2.0,0.0,0.0,0.6544508979562079,1219.6307526327178
