region_code,region_name,month_key,vacancy_wte_total,vacancy_wte_nursing,vacancy_pressure_index,nursing_pressure_index
Y59,South East,201604,2150.92,655.42,0.7926809474726152,0.7707035748019133
Y62,North West,201611,1746.05,588.47,0.7264474315815641,0.814864946731633
Y61,East of England,201612,1147.72,381.74,0.835565631382707,0.9966186742644605
Y56,London,201612,1933.13,571.36,0.7410984790580439,0.7288056447061853
Y61,East of England,201706,1454.35,428.34,1.0587990764310458,1.1182785218589588
Y56,London,201706,2904.04,891.96,1.1133134487198078,1.1377511251262409
Y63,North East and Yorkshire,201711,2027.5199999999998,558.37,0.7156714920823922,0.6818308785811197
Y58,South West,201712,1082.9,408.94,0.6632617515126505,0.8098210656650344
Y63,North East and Yorkshire,201804,1931.2799999999997,579.71,0.6817008163810381,0.70788935405244
Y60,Midlands,201809,2227.7300000000005,743.49,0.8053939008963446,0.8835315116613469
Y63,North East and Yorkshire,201811,2311.3599999999997,647.13,0.8158609828458205,0.7902165525658613
Y62,North West,201901,2556.32,846.4,1.0635618099714121,1.172025236483855
Y59,South East,201902,2388.5899999999997,802.0,0.8802697377511082,0.9430659226009803
Y61,East of England,201903,1246.94,328.5,0.907799993374998,0.8576236037509175
Y56,London,201903,2479.57,673.45,0.9505856076507809,0.8590278658418169
Y59,South East,201905,2897.15,918.88,1.0676899219730567,1.08050425805435
Y59,South East,201911,2770.22,991.42,1.0209122674518754,1.1658035124502044
Y59,South East,202005,1768.7,645.99,0.65182098441356,0.7596149069089866
Y62,North West,202010,2533.2699999999995,861.39,1.053971813523455,1.1927821579097682
Y60,Midlands,202012,2515.0,760.59,0.9092509688132341,0.9038524155731803
Y62,North West,202106,2689.92,875.86,1.1191463446979646,1.2128190260240421
Y58,South West,202108,2330.67,695.22,1.4275041706510196,1.3767393780790464
Y59,South East,202112,3146.8500000000004,970.49,1.1597121415739309,1.1411920788341963
Y58,South West,202201,2657.59,888.19,1.6277382936582372,1.7588765401110846
Y59,South East,202202,3722.2100000000005,1018.44,1.3717502043274707,1.1975761324360878
Y59,South East,202205,4527.97,1295.65,1.6686978361480564,1.5235453399226437
Y60,Midlands,202206,3366.8500000000004,943.19,1.217221321808683,1.120846395356852
Y62,North West,202303,3126.19,952.84,1.3006573100059964,1.3194146105048161
Y59,South East,202304,3062.16,882.67,1.128501241381708,1.0379251844167172
Y58,South West,202402,1696.63,475.91,1.0391631595428095,0.9424412954483459
Y62,North West,202405,3031.9100000000003,729.32,1.2614319362483666,1.0099024639324257
Y60,Midlands,202406,2831.55,816.4,1.0236936702755917,0.9701746171708073
Y60,Midlands,202410,3376.61,984.2,1.2207498663238388,1.1695809140366349
Y58,South West,202412,1058.28,278.91,0.6481823311393552,0.5523235521705746
Y63,North East and Yorkshire,202502,2780.7400000000002,716.87,0.9815421524291704,0.875376724982444
Y58,South West,202507,1509.54,363.29,0.9245730394112166,0.7194206850526981
Y60,Midlands,202511,2123.45,575.91,0.7676934273266249,0.6843866533253793
Y60,Midlands,201609,1922.26,540.99,0.6949569651335695,0.6428892284948985
Y61,East of England,201611,1196.3,420.76,0.8709329495200331,1.0984892161772788
Y56,London,201611,2260.27,676.74,0.8665131984194157,0.8632244679334636
Y62,North West,201612,1573.55,514.49,0.6546784776868763,0.7124235159718556
Y59,South East,201701,2121.8399999999997,736.81,0.7819640626268264,0.8664094793411824
Y62,North West,201706,2391.82,608.88,0.9951212713298112,0.8431270392134802
Y60,Midlands,201708,2140.08,713.59,0.7737056911880024,0.8479996387394861
Y58,South West,201711,1377.2299999999998,469.92,0.8435349358535115,0.9305793397009658
